WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
26809896,EC,Cube,SPA,LocalAdmin,26809644
26809897,EC,Cubijies,SPA,LocalAdmin,26809647
26809898,EC,Cuchaentza,SPA,LocalAdmin,26809585
26809899,EC,Cuchil,SPA,LocalAdmin,26809677
26809900,EC,Cuenca,SPA,LocalAdmin,26809530
26809901,EC,Cumanda,SPA,LocalAdmin,26809531
26809902,EC,Cumanda,SPA,LocalAdmin,26809614
26809903,EC,Cumbaratza,SPA,LocalAdmin,26809696
26809904,EC,Cumbaya,SPA,LocalAdmin,26809645
26809905,EC,Cumbe,SPA,LocalAdmin,26809530
26809906,EC,Cunchibamba,SPA,LocalAdmin,26809489
26809907,EC,Curaray,SPA,LocalAdmin,26809491
26809908,EC,Curtincapa,SPA,LocalAdmin,26809630
26809909,EC,Cusubamba,SPA,LocalAdmin,26809650
26809910,EC,Cutuglahua,SPA,LocalAdmin,26809590
26809911,EC,Cuyabeno,SPA,LocalAdmin,26809532
26809912,EC,Cuyuja,SPA,LocalAdmin,26809642
26809913,EC,Daniel Cordova,SPA,LocalAdmin,26809556
26809914,EC,Daule,SPA,LocalAdmin,26809599
26809915,EC,Daule,SPA,LocalAdmin,26809533
26809916,EC,Dayuma,SPA,LocalAdmin,26809525
26809917,EC,Deleg,SPA,LocalAdmin,26809534
26809918,EC,16 de Agosto,SPA,LocalAdmin,26809614
26809919,EC,10 de Agosto,SPA,LocalAdmin,26809620
26809920,EC,Diez de Agosto,SPA,LocalAdmin,26809639
26809921,EC,12 de Diciembre,SPA,LocalAdmin,26809628
26809922,EC,Doctor Miguel Egas,SPA,LocalAdmin,26809608
26809923,EC,Dug Dug,SPA,LocalAdmin,26809619
26809924,EC,Dureno,SPA,LocalAdmin,26809574
26809925,EC,Echeandia,SPA,LocalAdmin,26809536
26809926,EC,El Airo,SPA,LocalAdmin,26809549
26809927,EC,El Altar,SPA,LocalAdmin,26809624
26809928,EC,El Anegado,SPA,LocalAdmin,26809567
26809929,EC,El Angel,SPA,LocalAdmin,26809548
26809930,EC,El Arenal,SPA,LocalAdmin,26809638
26809931,EC,El Cabo,SPA,LocalAdmin,26809619
26809932,EC,El Cambio,SPA,LocalAdmin,26809586
26809933,EC,El Carmelo,SPA,LocalAdmin,26809687
26809934,EC,El Carmen de Pijili,SPA,LocalAdmin,26809666
26809935,EC,El Carmen,SPA,LocalAdmin,26809537
26809936,EC,El Chaco,SPA,LocalAdmin,26809538
26809937,EC,El Chaupi,SPA,LocalAdmin,26809590
26809938,EC,El Chical,SPA,LocalAdmin,26809687
26809939,EC,El Chorro,SPA,LocalAdmin,26809521
26809940,EC,El Cisne,SPA,LocalAdmin,26809581
26809941,EC,El Corazon,SPA,LocalAdmin,26809616
26809942,EC,El Dorado de Cascales,SPA,LocalAdmin,26809511
26809943,EC,El Eno,SPA,LocalAdmin,26809574
26809944,EC,El Goaltal,SPA,LocalAdmin,26809548
26809945,EC,El Guabo,SPA,LocalAdmin,26809540
26809946,EC,El Guisme,SPA,LocalAdmin,26809542
26809947,EC,El Ideal,SPA,LocalAdmin,26809557
26809948,EC,El Ingenio,SPA,LocalAdmin,26809589
26809949,EC,El Ingenio,SPA,LocalAdmin,26809549
26809950,EC,El Limo,SPA,LocalAdmin,26809638
26809951,EC,El Lucero,SPA,LocalAdmin,26809508
26809952,EC,El Pan,SPA,LocalAdmin,26809541
26809953,EC,El Pangui,SPA,LocalAdmin,26809542
26809954,EC,El Paraiso de Celen,SPA,LocalAdmin,26809673
26809955,EC,El Paraiso,SPA,LocalAdmin,26809576
26809956,EC,El Piedrero,SPA,LocalAdmin,26809543
26809957,EC,El Playon de San Fco.,SPA,LocalAdmin,26809605
26809958,EC,El Porvenir del Carmen,SPA,LocalAdmin,26809610
26809959,EC,El Quinche,SPA,LocalAdmin,26809645
26809960,EC,El Retiro,SPA,LocalAdmin,26809586
26809961,EC,El Reventador,SPA,LocalAdmin,26809553
26809962,EC,El Rosario,SPA,LocalAdmin,26809539
26809963,EC,El Rosario,SPA,LocalAdmin,26809517
26809964,EC,El Rosario,SPA,LocalAdmin,26809557
26809965,EC,El Rosario,SPA,LocalAdmin,26809662
26809966,EC,El Salitre,SPA,LocalAdmin,26809688
26809967,EC,El Tablon,SPA,LocalAdmin,26809673
